Config,Subject,Condition,Status,Shape
cov_4s_0ov,G21,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G22,EC,Success,"(53, 8, 8)"
cov_4s_0ov,G22,CPT,Success,"(111, 8, 8)"
cov_4s_0ov,G23,EC,Success,"(55, 8, 8)"
cov_4s_0ov,G23,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G24,EC,No data found,N/A
cov_4s_0ov,G24,CPT,No data found,N/A
cov_4s_0ov,G25,EC,Success,"(57, 8, 8)"
cov_4s_0ov,G25,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G26,EC,Success,"(56, 8, 8)"
cov_4s_0ov,G26,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G27,EC,Success,"(39, 8, 8)"
cov_4s_0ov,G27,CPT,No data found,N/A
cov_4s_0ov,G28,EC,Success,"(55, 8, 8)"
cov_4s_0ov,G28,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G29,EC,Success,"(52, 8, 8)"
cov_4s_0ov,G29,CPT,Success,"(111, 8, 8)"
cov_4s_0ov,G30,EC,Success,"(57, 8, 8)"
cov_4s_0ov,G30,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G31,EC,Success,"(58, 8, 8)"
cov_4s_0ov,G31,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G32,EC,Success,"(52, 8, 8)"
cov_4s_0ov,G32,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G33,EC,Success,"(53, 8, 8)"
cov_4s_0ov,G33,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G34,EC,Success,"(53, 8, 8)"
cov_4s_0ov,G34,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G35,EC,Success,"(54, 8, 8)"
cov_4s_0ov,G35,CPT,Success,"(111, 8, 8)"
cov_4s_0ov,G36,EC,Success,"(53, 8, 8)"
cov_4s_0ov,G36,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G37,EC,Success,"(52, 8, 8)"
cov_4s_0ov,G37,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G38,EC,Success,"(46, 8, 8)"
cov_4s_0ov,G38,CPT,Success,"(108, 8, 8)"
cov_4s_0ov,G39,EC,Success,"(52, 8, 8)"
cov_4s_0ov,G39,CPT,No data found,N/A
cov_4s_0ov,G40,EC,Success,"(26, 8, 8)"
cov_4s_0ov,G40,CPT,No data found,N/A
cov_4s_0ov,G41,EC,Success,"(53, 8, 8)"
cov_4s_0ov,G41,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G42,EC,Success,"(53, 8, 8)"
cov_4s_0ov,G42,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G43,EC,Success,"(53, 8, 8)"
cov_4s_0ov,G43,CPT,Success,"(112, 8, 8)"
cov_4s_50ov,G01,EC,Success,"(46, 8, 8)"
cov_4s_50ov,G01,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G02,EC,No data found,N/A
cov_4s_50ov,G02,CPT,No data found,N/A
cov_4s_50ov,G03,EC,Success,"(104, 8, 8)"
cov_4s_50ov,G03,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G04,EC,Success,"(105, 8, 8)"
cov_4s_50ov,G04,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G05,EC,Success,"(110, 8, 8)"
cov_4s_50ov,G05,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G06,EC,Success,"(110, 8, 8)"
